我爱爸爸和妈妈。|ฉันรักพ่อกับแม่
我可以坐这儿吗？|ฉันนั่งตรงนี้ได้ไหม
一杯茶五块钱。|ชาหนึ่งแก้วราคาห้าหยวน
今天天气有点儿冷。|วันนี้อากาศค่อนข้างหนาว
我的房间号是二零六。|หมายเลขห้องของฉันคือสองศูนย์หก
你明天忙吗？|พรุ่งนี้คุณยุ่งไหม
没事，我可以再等一下。|ไม่เป็นไร ฉันรออีกสักครู่ได้
午饭我想吃米饭，不想吃面包。|มื้อกลางวันฉันอยากกินข้าวสวย ไม่อยากกินขนมปัง
这碗面条儿很好吃。|บะหมี่ชามนี้อร่อยมาก
明年我要去中国工作。|ปีหน้าฉันจะไปทำงานที่ประเทศจีน
你在哪所学校学习？|คุณเรียนอยู่ที่โรงเรียนไหน
哪个杯子是你的？|แก้วใบไหนเป็นของคุณ
你们住在哪里？|พวกคุณอาศัยอยู่ที่ไหน
你想去哪儿？|คุณอยากไปที่ไหน
你喜欢哪些水果？|คุณชอบผลไม้ชนิดไหนบ้าง
那边的商店现在开门吗？|ร้านค้าทางนั้นเปิดอยู่ตอนนี้ไหม
那个男学生是我弟弟。|นักเรียนชายคนนั้นคือน้องชายของฉัน
那里有很多人。|ที่นั่นมีคนจำนวนมาก
我男朋友在那儿等我。|แฟนของฉันรอฉันอยู่ที่นั่น
那些书是老师的。|หนังสือเหล่านั้นเป็นของครู
我很好，你呢？|ฉันสบายดี แล้วคุณล่ะ
你能帮我一下吗？|คุณช่วยฉันหน่อยได้ไหม
你好，我是你的新同学。|สวัสดี ฉันเป็นเพื่อนร่วมชั้นคนใหม่ของคุณ
我们在这里住了三年。|พวกเราอาศัยอยู่ที่นี่มาสามปีแล้ว
那个女学生是我女儿。|นักเรียนหญิงคนนั้นเป็นลูกสาวของฉัน
我的女朋友喜欢看书。|แฟนของฉันชอบอ่านหนังสือ
王女士，您好！|สวัสดีครับ คุณหวัง
这里的苹果又便宜又好吃。|แอปเปิลที่นี่ทั้งถูกและอร่อย
她的衣服很漂亮。|เสื้อผ้าของเธอสวยมาก
这台电脑三千元。|คอมพิวเตอร์เครื่องนี้ราคาสามพันหยวน
吃饭前，请洗手。|ก่อนกินข้าว กรุณาล้างมือ
去年我去了北京。|ปีที่แล้วฉันไปปักกิ่งมา
今天很热，我想喝水。|วันนี้ร้อนมาก ฉันอยากดื่มน้ำ
今天是五月四日。|วันนี้คือวันที่สี่เดือนพฤษภาคม
爸爸早上七点去上班。|พ่อออกไปทำงานตอนเจ็ดโมงเช้า
我们上午有汉语课。|พวกเรามีคาบเรียนภาษาจีนช่วงก่อนเที่ยง
今天来的人很少。|วันนี้มีคนมาน้อยมาก
门外是谁？|ใครอยู่ข้างนอกประตู
你想吃什么？|คุณอยากกินอะไร
她生病了，今天不去上班。|เธอป่วย วันนี้จึงไม่ไปทำงาน
你现在有时间吗？|ตอนนี้คุณมีเวลาไหม
我有一件事想问你。|ฉันมีเรื่องหนึ่งอยากถามคุณ
弟弟已经睡了。|น้องชายนอนไปแล้ว
我每天晚上十点睡觉。|ฉันนอนตอนสี่ทุ่มทุกวัน
它是我的猫，它们是我的狗。|มันคือแมวของฉัน พวกมันคือสุนัขของฉัน
他们在踢球，她们在唱歌。|พวกเขากำลังเตะฟุตบอล พวกเธอกำลังร้องเพลง
我在北京住了五天。|ฉันพักที่ปักกิ่งห้าวัน
我喜欢听音乐。|ฉันชอบฟังดนตรี
你听见了吗？|คุณได้ยินไหม
小朋友们在外边玩。|เด็ก ๆ กำลังเล่นอยู่ข้างนอก
我们六点吃晚饭。|พวกเรากินอาหารเย็นตอนหกโมง
喂，请问您找谁？|ฮัลโหล ขอถามหน่อยว่าต้องการพูดกับใครครับ
老师，我有一个问题。|คุณครู ฉันมีคำถามหนึ่งข้อ
书在椅子下。|หนังสืออยู่ใต้เก้าอี้
外边正在下雨。|ข้างนอกฝนกำลังตก
妈妈下午五点下班。|แม่เลิกงานตอนห้าโมงเย็น
下课了，我们休息一下吧。|เลิกเรียนแล้ว พวกเราพักสักครู่กันเถอะ
李先生在那边。|คุณหลี่อยู่ทางนั้น
我家很小，但是很漂亮。|บ้านฉันเล็กมาก แต่สวยมาก
从这里到学校要一个小时。|จากที่นี่ไปโรงเรียนใช้เวลาหนึ่งชั่วโมง
这所小学有五百个小学生。|โรงเรียนประถมแห่งนี้มีนักเรียนประถมห้าร้อยคน
我想买些水果。|ฉันอยากซื้อผลไม้สักหน่อย
请在这里写你的名字。|กรุณาเขียนชื่อของคุณตรงนี้
一个星期有七天。|หนึ่งสัปดาห์มีเจ็ดวัน
星期日我们去看电影。|วันอาทิตย์พวกเราจะไปดูภาพยนตร์
星期天我在家休息。|วันอาทิตย์ฉันพักผ่อนอยู่ที่บ้าน
我想学做中国菜。|ฉันอยากเรียนทำอาหารจีน
我是学生，每天都学习中文。|ฉันเป็นนักเรียนและเรียนภาษาจีนทุกวัน
外边下雪了。|ข้างนอกหิมะตกแล้ว
那位医生是我的朋友。|หมอท่านนั้นเป็นเพื่อนของฉัน
这个苹果一半给你，一半给我。|แอปเปิลลูกนี้แบ่งครึ่งหนึ่งให้คุณ อีกครึ่งให้ฉัน
我买了一些书。|ฉันซื้อหนังสือมาจำนวนหนึ่ง
有的学生喜欢看书，有的喜欢唱歌。|นักเรียนบางคนชอบอ่านหนังสือ บางคนชอบร้องเพลง
有些问题我还不知道。|คำถามบางข้อฉันยังไม่รู้คำตอบ
今天的雨很大。|วันนี้ฝนตกหนักมาก
再见，明天见！|ลาก่อน แล้วพบกันพรุ่งนี้
你今天来得真早。|วันนี้คุณมาเช้าจริง ๆ
请问，去医院怎么走？|ขอถามหน่อย ไปโรงพยาบาลเดินไปอย่างไร
你觉得这个电影怎么样？|คุณคิดว่าภาพยนตร์เรื่องนี้เป็นอย่างไร
请坐这边。|เชิญนั่งทางนี้
我在中学工作。|ฉันทำงานที่โรงเรียนมัธยม
他是中学生，中午在学校吃饭。|เขาเป็นนักเรียนมัธยม ตอนเที่ยงเขากินข้าวที่โรงเรียน
这个字怎么读？|ตัวอักษรนี้อ่านว่าอย่างไร
昨天我在家做作业。|เมื่อวานฉันทำการบ้านอยู่ที่บ้าน
今天来的人很多。|วันนี้มีคนมาเยอะมาก
我家在学校旁边。|บ้านฉันอยู่ข้างโรงเรียน
孩子们在公园里玩。|เด็ก ๆ เล่นอยู่ในสวนสาธารณะ
我明天要去医院。|พรุ่งนี้ฉันจะไปโรงพยาบาล
